id,gender,mathPre,readPre,group,score1,score2,pass
49,1,45.09,57.32,cram,50.62,61.94,1
50,0,53.29,51.88,mnemonic,53.07,52.7,1
51,1,51.11,54.19,mnemonic,48.9,47.31,0
52,1,62.45,54.58,none,57.5,70.56,1
53,0,48.87,50.01,cram,46.41,50.26,0
54,0,52.84,52.33,cram,47.6,72.46,1
55,1,39.64,43.81,cram,43.01,41.22,0
56,0,72.35,60.22,cram,65.79,95.08,1
57,1,55.75,59.9,cram,64.71,65.07,1
58,1,57.64,57.99,none,63.73,58.57,1
59,0,42.81,51.78,none,36.96,42.94,0
60,1,55.02,44.15,mnemonic,51.71,46.72,0
61,1,64.61,42.37,mnemonic,37.56,63.28,1
62,0,58.83,66.25,cram,68.84,86.62,1
63,1,45.85,29.25,mnemonic,33.62,30.22,0
64,1,41.6,43.66,none,35.3,31.38,0
65,1,53.27,44.11,mnemonic,53.29,44.74,0
66,0,52.57,33.75,mnemonic,44.46,46.44,0
67,0,50.73,60,none,51.52,64.18,1
68,1,35.11,56.32,cram,46.42,46.51,0
69,1,46.03,31.32,cram,37.21,42.42,0
70,1,39.99,71.22,cram,57.7,73.11,1
71,0,32.2,50.35,none,45.72,37.88,0
72,1,42.59,,none,41.52,27.64,0
73,0,38.9,44.02,none,28.58,33.55,0
74,1,64.08,49.63,mnemonic,62.39,55.59,1
75,0,29.53,50.35,none,39.67,45.61,0
76,1,58.19,64.91,mnemonic,64.86,68.32,1
77,1,54.57,42.3,none,59.9,53.54,1
78,0,49.33,48.04,none,44.9,63.14,1
79,1,62.46,55.25,none,54.86,59.85,1
80,1,61.61,63.22,mnemonic,74.57,74.17,1
81,1,34.45,58.2,cram,59.71,47.95,1
82,0,53.81,31.64,cram,52.42,38.36,0
83,1,52.06,32.01,mnemonic,46.97,33.48,0
84,1,38.16,38.29,mnemonic,44.91,43.13,0
85,1,52.04,44.91,cram,46.15,56.16,1
86,1,51.93,57.72,none,52.96,52.19,1
87,1,55.02,54.12,none,47.42,67.9,1
88,1,49.66,46.12,cram,43.3,55.57,0
89,1,53.61,64.18,mnemonic,59.13,77.89,1
90,0,47.44,39.81,mnemonic,40.15,35.93,0
91,1,70.09,53.09,cram,63.5,69.65,1
92,0,51.66,39.57,none,47.33,39.72,0
93,1,66,42.3,none,50.27,61.11,1
94,1,51.54,39.89,mnemonic,40.87,47.21,0
95,1,54.39,52.03,none,53.18,50.64,1
96,1,60.49,47.74,mnemonic,59.94,62.61,1
97,0,43.29,45.44,mnemonic,52.61,35.83,0
98,1,44.01,41.98,cram,41.3,43.87,0
99,1,45.65,44.69,none,46.73,38.42,0
100,1,33.64,44.89,cram,29.64,33.49,0
101,1,,48.14,mnemonic,40.93,39.53,0
102,1,51.77,43.01,none,57.26,42.84,1
103,1,61.96,58.17,cram,68.68,67.59,1
104,0,30.95,27.49,none,34.92,25.12,0
105,1,34.83,51.68,mnemonic,50.53,29.96,0
106,1,59.31,55.25,cram,48.88,72.28,1
107,1,59.14,50.02,none,63.79,52.99,1
108,1,38.85,48.84,mnemonic,46.52,36.73,0
109,0,48.68,39.49,cram,48.03,47.95,0
110,0,60.07,45.57,cram,52.01,57.03,1
111,0,42.26,54.69,none,47.59,60.03,1
112,1,44.11,27.78,none,29.37,25.15,0
113,1,53.53,47.4,none,54.79,43.15,0
114,1,53.9,60.71,none,60.17,62.77,1
115,1,49.21,55.31,mnemonic,46.02,64.73,1
116,0,55.77,57.35,none,54.07,65.92,1
117,0,62.44,56.33,cram,57.58,86.45,1
118,1,39.17,49,none,50.07,33.39,0
119,1,60.03,32.76,mnemonic,37.84,50.97,0
120,0,53.94,50.6,cram,48.03,59.22,1
121,1,50.03,55.17,mnemonic,42.84,48.84,0
122,1,36.22,42.57,cram,29.7,35.46,0
123,0,51.65,52.69,mnemonic,49.98,53.77,1
124,0,37.22,48.86,cram,46.05,46.37,0
125,1,56.94,63.49,mnemonic,69.28,70.36,1
126,0,36.82,45.13,mnemonic,36.86,49.82,0
127,0,67.11,36.88,mnemonic,46.54,45.97,0
128,1,60.53,,none,52.79,40.92,0
129,0,63.16,59.84,mnemonic,60.02,71.58,1
130,0,59.33,33.54,none,43.84,40.58,0
131,0,45.96,60.2,cram,53.24,55.65,1
132,1,43.87,52.15,mnemonic,50.35,56.59,1
133,1,43.48,54.72,mnemonic,51.66,45.55,0
134,1,36.61,50.46,mnemonic,39.4,44.35,0
135,1,51.5,50.4,none,49.89,44.82,0
136,1,38.4,43.37,mnemonic,45.71,29,0
137,0,34.09,69.12,mnemonic,49.39,51.03,1
138,0,44.28,59.17,cram,57.91,54.41,1
139,1,53.68,36.06,mnemonic,34.71,49.87,0
140,0,45.62,50.98,none,47.75,57.61,1
141,1,48.97,48.7,cram,51.71,62.56,1
142,1,33.58,55.58,cram,46.66,43.57,0
143,1,42.59,57.92,cram,52.56,64.3,1
144,1,37,64.73,mnemonic,54.51,57.74,1
145,1,39.19,48.15,mnemonic,42.51,34.86,0
146,1,61.14,33.52,cram,37.78,52.5,0
147,1,67.12,58.33,mnemonic,58.46,68.15,1
148,1,59.69,47.01,cram,49.28,69.68,1
149,1,52.87,44.28,cram,39.98,48.64,0
150,0,33.32,51.36,none,47.27,33.5,0
151,1,53.99,50.63,mnemonic,59.31,64.03,1
152,0,47.9,42.49,cram,45.02,51.84,0
153,1,39.86,46.15,cram,37.79,54.19,0
154,1,67.94,49.39,none,54.52,68.23,1
155,0,46.61,58.04,cram,56,55.35,1
156,0,41.16,53.26,none,39.77,45.11,0
157,1,24.63,43.21,mnemonic,36.38,22.27,0
158,0,39.38,58.03,mnemonic,62.36,53.81,1
159,0,54.06,49.38,mnemonic,42.65,51.64,0
160,0,52.44,48.75,none,53.75,47.92,1
161,0,45.96,59.79,none,49.59,62.29,1
162,1,51.92,61.61,cram,50.35,64.83,1
163,1,67.4,65.68,none,77.53,77.69,1
164,1,63.87,40.14,mnemonic,41.82,56.44,0
165,0,37.04,50.75,none,48.58,43.68,0
166,1,57.43,52.41,none,54.14,56.98,1
167,0,39.1,64.92,none,45.19,47.9,0
168,1,39,42.3,none,41.33,43.81,0
169,1,40.56,39.26,mnemonic,32.04,27.42,0
170,1,50.44,45.36,cram,46.91,56.52,1
171,0,64.27,58.95,none,62.59,76.05,1
172,1,59.42,44.26,mnemonic,46.39,51.83,0
173,1,67.85,51.02,cram,54.48,64.77,1
174,0,62.57,60.89,none,57.96,72.73,1
175,0,45.7,46.78,cram,44.78,63.28,1
176,0,48.01,52.44,mnemonic,49.2,60.23,1
177,0,52.01,54.77,cram,60.51,59.15,1
178,1,60.55,59.18,none,54.99,68.6,1
179,1,59.27,48.74,cram,41.93,54.34,0
180,1,44.79,40.66,mnemonic,43.81,31.35,0
181,1,56.3,50.4,none,53.59,48.82,1
182,0,53.17,49.17,none,56.86,52.66,1
183,0,45.65,41.32,cram,42.44,43.22,0
184,0,44.35,42.23,none,32.22,40.45,0
185,0,58.35,43.66,mnemonic,44.82,63.67,1
186,0,64.58,67.88,mnemonic,69.14,86.08,1
187,1,67.36,63.06,mnemonic,67.32,73,1
188,0,73.61,54.12,mnemonic,69.08,84.14,1
189,0,40.12,35.63,mnemonic,30.34,27.45,0
190,1,52.02,55.47,cram,54.07,57.88,1
191,1,51.02,37.54,cram,35.23,43.12,0
192,1,65.51,69.69,cram,53.19,82.65,1
193,1,37.17,84.18,cram,72.47,66.06,1
194,1,69.81,60.47,mnemonic,61.13,89.15,1
195,0,67.47,65.01,mnemonic,53.04,80.28,1
196,0,52.56,56.44,cram,66.87,63.3,1
197,0,52.74,57.58,cram,57.5,65.33,1
198,1,46.81,60.61,cram,56.01,66.5,1
199,0,51.42,37.21,cram,28.29,56.94,0
200,1,57.05,55.92,none,63.23,70.68,1
201,1,53.05,46.13,cram,52.51,57.76,1
202,0,51.1,47.01,mnemonic,54.68,54.81,1
203,1,58.92,61.85,cram,53.72,65.67,1
204,0,48.47,56.02,cram,48.13,61.96,1
205,1,32.37,42.42,cram,38.45,40.51,0
206,1,56.41,55.7,cram,56.46,70.24,1
207,0,64.7,,none,52.6,52.57,1
208,0,54.5,41.56,cram,46.2,46.43,0
209,1,63.29,48.64,none,54.94,69.37,1
210,1,40.96,46.67,cram,34.13,54.82,0
211,1,47.05,46.65,mnemonic,52.22,44.45,0
212,1,61.23,53.55,none,55,59.11,1
213,1,32.12,46.64,cram,38.78,37.81,0
214,1,50.99,44.09,cram,54.36,56.46,1
215,1,48.76,68.53,none,52.48,74.04,1
216,1,43.02,49.36,none,46.76,49.08,0
217,1,45.2,39.09,cram,43.91,42.4,0
218,0,53.59,37.74,cram,31.22,49.84,0
219,0,40.26,56,cram,48.54,59.27,1
220,1,51.45,57.22,none,52.61,68.03,1
221,1,31.65,46.55,cram,42.82,46.36,0
222,1,54.47,53.1,cram,47.62,66.55,1
223,1,53.24,72.42,mnemonic,71.73,70.72,1
224,1,46.24,43.55,cram,43.58,46.48,0
225,0,46.48,50.77,none,35.72,45.47,0
226,1,37.42,41.64,cram,41.17,34.1,0
227,1,52.03,47.79,none,46.83,49.13,0
228,1,61.99,38.94,cram,36,54.6,0
229,1,38.99,51.38,none,50.14,46.03,0
230,0,65.95,55.66,cram,48.29,77.71,1
231,0,50.23,61.1,cram,52.46,73.31,1
232,0,33.71,35.39,cram,32.85,31.54,0
233,1,25.94,37.03,cram,24.93,24.67,0
234,1,51.55,39.45,mnemonic,35.66,43.76,0
235,0,66.32,47.19,mnemonic,52.96,69.61,1
236,1,45.08,40.54,none,28.07,35.08,0
237,1,32.34,46.62,mnemonic,42.81,38.03,0
238,1,65.22,45.05,mnemonic,50.36,49.73,1
239,1,46.15,44.36,mnemonic,38.89,35.86,0
240,0,35.37,53.28,mnemonic,42.98,37.23,0
241,1,38.03,55.09,none,45.44,48.45,0
242,0,39.89,41.35,cram,44.54,48.08,0
243,1,49.46,48.22,cram,46.5,46.98,0
244,1,41.42,49.87,mnemonic,36.54,38.49,0
245,1,62.87,50.33,cram,59.93,62.42,1
246,1,20.88,44.87,mnemonic,40.13,16.38,0
247,1,59.81,50.27,none,66.41,59.27,1
248,1,60.25,56.43,cram,59.06,67.53,1
249,1,39.38,40.83,cram,40.26,39.19,0
250,0,53.61,29,mnemonic,30.55,37.15,0
251,1,44.56,65.25,mnemonic,62.9,51.3,1
252,0,56.48,43.09,none,50.78,63.38,1
253,1,42.03,44.79,cram,38.89,49.12,0
254,1,49.84,35.33,mnemonic,45.9,43.13,0
255,1,64.6,37.12,mnemonic,48.64,54.28,1
256,1,53.06,52.91,mnemonic,48.5,55.06,1
257,0,47.76,58.46,mnemonic,52.8,54.83,1
258,1,55.94,42.02,mnemonic,47.73,57.26,1
259,1,52.19,52.08,mnemonic,56.23,53.16,1
260,1,34.4,47.72,cram,46.17,37.84,0
261,1,36.49,39.39,mnemonic,40.44,27.46,0
262,1,64.55,60.19,cram,59.36,77.24,1
263,0,53.54,57.12,none,61.35,69.56,1
264,1,51.93,46.7,cram,49.58,59.75,1
265,1,57.35,62.73,mnemonic,55.62,77.05,1
266,1,77.66,39.04,none,45.94,55.3,1
267,0,56.33,39.19,none,45.25,48.54,0
268,1,51.82,54.2,mnemonic,54.81,51.05,1
269,0,35.02,51.53,none,50.9,41.9,0
270,1,33.92,46.58,cram,44.36,38.04,0
271,1,50.34,56.67,none,50.43,66.31,1
272,1,53.81,52.59,cram,55.4,71.69,1
273,1,38.73,68.13,mnemonic,52.22,46.61,0
274,1,62.72,62.53,none,70.73,72.83,1
275,1,53.02,55.51,cram,58.02,67.75,1
276,1,68.01,53.43,mnemonic,55.18,79.31,1
277,1,56.78,49.81,none,59.24,53.46,1
278,1,64.05,51.45,mnemonic,53.42,64.05,1
279,0,39.93,63.5,none,49.6,61.14,1
280,0,52.42,63.49,cram,55.65,71.92,1
281,1,40.29,48.16,none,42.58,40.81,0
282,1,69,64.14,cram,58.41,81.75,1
283,0,48.29,60.12,cram,47.76,70.48,1
284,1,57.09,54.28,mnemonic,64.89,61.02,1
285,1,49.3,37.58,none,37.64,44.62,0
286,1,33.62,56.51,cram,48.54,49.3,0
287,1,71.1,64.17,none,63.03,95.54,1
288,1,38.23,41.36,none,44.31,43.71,0
289,0,51.93,55.02,cram,59.55,58.44,1
290,1,37.01,45.92,mnemonic,44.11,35.93,0
291,1,56.25,62.96,mnemonic,60.15,68.48,1
292,1,48.54,57.12,mnemonic,49,63.07,1
293,1,59.07,43.74,mnemonic,50.97,56.42,1
294,1,39.61,58.16,cram,57.27,43.57,1
295,0,36.83,41.29,none,26.87,42.01,0
296,1,71.29,56.65,mnemonic,73.52,82.36,1
297,0,40.23,48.21,none,57.27,37.31,0
298,0,41.38,43.91,mnemonic,43.36,51.23,0
299,0,71.96,62.3,mnemonic,64.85,87.01,1
300,1,43.86,54.78,none,44.12,59.39,1
